,zip_code,0-5_slots_built,total_slots_built,small_buildings,med_buildings,large_buildings,05_added,512_added,012_added,012_existing,05_existing,new_total_05,new_total_012,05_pop,012_pop,is_hd
44,10302.0,800.0,1600.0,0.0,0.0,4.0,13.0,0.0,13.0,744,79.0,892.0,2357.0,1338.0,3324.0,1.0
45,10303.0,600.0,1200.0,0.0,0.0,3.0,41.0,0.0,41.0,1629,201.0,842.0,2870.0,1262.0,4304.0,1.0
46,10304.0,1200.0,2400.0,0.0,0.0,6.0,103.0,0.0,103.0,2020,187.0,1490.0,4523.0,2234.0,6930.0,0.0
47,10305.0,1000.0,2000.0,0.0,0.0,5.0,40.0,0.0,40.0,786,62.0,1102.0,2826.0,1653.0,5261.0,0.0
48,10306.0,1600.0,3200.0,0.0,0.0,8.0,93.0,0.0,93.0,578,45.0,1738.0,3871.0,2606.0,7927.0,0.0
49,10307.0,700.0,1400.0,0.0,1.0,3.0,32.0,0.0,32.0,259,0.0,732.0,1691.0,1098.0,2206.0,0.0
50,10308.0,700.0,1400.0,0.0,1.0,3.0,21.0,0.0,21.0,447,17.0,738.0,1868.0,1106.0,3888.0,0.0
51,10309.0,1250.0,2500.0,1.0,0.0,6.0,38.0,0.0,38.0,297,3.0,1291.0,2835.0,1936.0,5375.0,0.0
52,10310.0,1200.0,2400.0,0.0,0.0,6.0,155.0,0.0,155.0,1168,90.0,1445.0,3723.0,2167.0,4759.0,0.0
53,10312.0,2400.0,4800.0,0.0,0.0,12.0,0.0,0.0,0.0,1140,57.0,2457.0,5940.0,3668.0,10087.0,0.0
54,10314.0,3400.0,6800.0,0.0,0.0,17.0,48.0,0.0,48.0,1654,65.0,3513.0,8502.0,5269.0,14464.0,0.0
55,10451.0,1800.0,3600.0,0.0,0.0,9.0,116.0,0.0,116.0,3287,414.0,2330.0,7003.0,3494.0,9238.0,1.0
56,10452.0,2000.0,4000.0,0.0,0.0,10.0,453.0,0.0,453.0,7000,1188.0,3641.0,11453.0,5461.0,15441.0,1.0
57,10453.0,2200.0,4400.0,0.0,0.0,11.0,291.0,0.0,291.0,6841,1160.0,3651.0,11532.0,5476.0,15655.0,1.0
58,10454.0,1400.0,2800.0,0.0,0.0,7.0,271.0,0.0,271.0,3163,243.0,1914.0,6234.0,2870.0,7936.0,1.0
59,10455.0,1000.0,2000.0,0.0,0.0,5.0,267.0,0.0,267.0,3035,405.0,1672.0,5302.0,2507.0,8493.0,1.0
60,10456.0,3000.0,6000.0,0.0,0.0,15.0,520.0,0.0,520.0,7286,959.0,4479.0,13806.0,6718.0,17022.0,1.0
61,10457.0,3000.0,6000.0,0.0,0.0,15.0,480.0,0.0,480.0,6559,1044.0,4524.0,13039.0,6785.0,17266.0,1.0
62,10458.0,2600.0,5200.0,0.0,0.0,13.0,140.0,0.0,140.0,4657,984.0,3724.0,9997.0,5585.0,15615.0,1.0
63,10459.0,2000.0,4000.0,0.0,0.0,10.0,118.0,0.0,118.0,4018,531.0,2649.0,8136.0,3973.0,9861.0,1.0
64,10460.0,1800.0,3600.0,0.0,0.0,9.0,181.0,0.0,181.0,4820,675.0,2656.0,8601.0,3983.0,10813.0,1.0
65,10461.0,1600.0,3200.0,0.0,0.0,8.0,62.0,0.0,62.0,1462,172.0,1834.0,4724.0,2750.0,7920.0,1.0
66,10462.0,3000.0,6000.0,0.0,0.0,15.0,240.0,0.0,240.0,3425,481.0,3721.0,9665.0,5581.0,13363.0,1.0
67,10463.0,2200.0,4400.0,0.0,0.0,11.0,278.0,0.0,278.0,4249,491.0,2969.0,8927.0,4453.0,10689.0,0.0
68,10464.0,50.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,114,5.0,55.0,214.0,75.0,518.0,0.0
